taxon_id,disease,p_value,auc,auc_effect,mean_health,mean_disease,effect_direction,n_health,n_disease
97478,D015212,0.0277700905879717,0.45358000000000004,0.04641999999999996,0.00455655934687283,0.0037120593235597755,decreased,500,300
100884,D015212,2.288446473785257e-39,0.22307333333333332,0.27692666666666665,0.004277358625613699,0.0011493588234306774,decreased,500,300
100886,D015212,0.00036454231802178467,0.42480666666666667,0.07519333333333333,0.004762920793035776,0.0034254499833967613,decreased,500,300
103892,D015212,7.679506176928434e-11,0.6372600000000002,0.13726000000000016,0.004587736776757244,0.007592981795957738,increased,500,300
122355,D015212,0.0012635107786201714,0.4319866666666667,0.06801333333333331,0.0042886242615685355,0.0033249122032747327,decreased,500,300
146939,D015212,9.819942847649645e-46,0.20055333333333336,0.29944666666666664,0.004352052501322046,0.0011081485150968957,decreased,500,300
147207,D015212,0.10149074819568894,0.46545333333333333,0.03454666666666667,0.0045035946569988725,0.0038441702583419985,decreased,500,300
150055,D015212,1.1598973838106083e-10,0.6359466666666667,0.13594666666666666,0.004228046829367285,0.007017176271753371,increased,500,300
156456,D015212,9.25659005616691e-05,0.4175333333333333,0.08246666666666669,0.00470705146023221,0.003501789675734437,decreased,500,300
158787,D015212,4.6563164450066145e-43,0.2098066666666667,0.2901933333333333,0.004259358240466745,0.0011038988393481742,decreased,500,300
158847,D015212,7.941505869091535e-22,0.7025266666666665,0.20252666666666652,0.004518205573065405,0.010965980475498757,increased,500,300
165179,D015212,5.987892902665495e-11,0.6380466666666667,0.13804666666666665,0.004418890864755447,0.0076282464393724915,increased,500,300
166486,D015212,7.844074842218764e-05,0.4166933333333333,0.0833066666666667,0.00465086765880582,0.0033838073504272527,decreased,500,300
179995,D015212,6.071342923484896e-55,0.17067333333333334,0.32932666666666666,0.004336100519572609,0.0010451645756102983,decreased,500,300
187326,D015212,0.006583112238939928,0.44267999999999996,0.05732000000000004,0.004180751293126817,0.003546368243713706,decreased,500,300
187327,D015212,4.3617663381419944e-08,0.6155066666666666,0.11550666666666665,0.004491455212770706,0.006842087291208218,increased,500,300
188913,D015212,0.008149660156765182,0.4441866666666666,0.05581333333333338,0.004437814075180927,0.0036624383552439294,decreased,500,300
197614,D015212,3.0409982404923085e-44,0.20567333333333332,0.2943266666666667,0.00448842941490833,0.0011676043389627659,decreased,500,300
204516,D015212,0.13364552961890935,0.46836,0.03164,0.0049478452015084195,0.004296896991171686,decreased,500,300
208479,D015212,4.906402051333003e-05,0.5856466666666666,0.08564666666666665,0.004683415153388849,0.007123101115000359,increased,500,300
216816,D015212,0.002488583969421935,0.4361933333333333,0.06380666666666668,0.004306574046270948,0.0034269724829429707,decreased,500,300
218538,D015212,1.6053339746665832e-43,0.20818666666666666,0.29181333333333337,0.004632314996920224,0.001179441713799954,decreased,500,300
228603,D015212,2.669360438443383e-16,0.6727133333333333,0.17271333333333327,0.00476274824396053,0.010405443289504452,increased,500,300
234908,D015212,5.739846417834329e-11,0.63818,0.13817999999999997,0.004564284612035386,0.007644840303502097,increased,500,300
237258,D015212,0.0018805611726216947,0.4344266666666666,0.06557333333333337,0.004420089209821514,0.00359077810871181,decreased,500,300
239935,D015212,5.80057602155307e-42,0.21367999999999998,0.28632,0.0046815157810101374,0.001183238960987156,decreased,500,300
246787,D015212,0.0030020825912688604,0.43739999999999996,0.06260000000000004,0.0048865302071866715,0.003636567637129802,decreased,500,300
