run_id,relative_abundance,phenotype,ncbi_taxon_id
SRR3400434,0.109948,D015212,301301
SRR3400435,0.06021,D015212,301301
SRR3400436,0.0478405,D015212,301301
SRR3400437,0.0920341,D015212,301301
SRR3400439,0.0936906,D015212,301301
SRR3400440,0.119832,D015212,301301
SRR3400441,0.129805,D015212,301301
SRR3400442,0.100809,D015212,301301
SRR3400443,0.0490565,D015212,301301
SRR3400444,0.261783,D015212,301301
SRR3400445,0.153657,D015212,301301
SRR3400446,0.178314,D015212,301301
SRR3400447,0.131239,D015212,301301
SRR3400448,0.185957,D015212,301301
SRR3400450,0.068429,D015212,301301
SRR3400451,0.0955,D015212,301301
SRR3400452,0.0772726,D015212,301301
SRR3400453,0.10274,D015212,301301
SRR3400454,0.0851444,D015212,301301
SRR3400455,0.12263,D015212,301301
SRR3400456,0.0541017,D015212,301301
SRR3400465,0.13155,D015212,301301
SRR3400466,0.0343263,D015212,301301
SRR3400467,0.158067,D015212,301301
SRR5218294,0.095227,D015212,301301
SRR5218295,2.12705,D015212,301301
SRR5218296,1.23245,D015212,301301
SRR5218298,0.783421,D015212,301301
SRR5218300,0.0812935,D015212,301301
SRR5218301,0.391719,D015212,301301
SRR5218303,0.708459,D015212,301301
SRR5218292,0.346301,D015212,301301
SRR5218368,1.32604,D015212,301301
SRR5218369,0.108235,D015212,301301
SRR5218370,0.181604,D015212,301301
SRR5218371,2.57819,D015212,301301
SRR5218372,0.0756506,D015212,301301
SRR5218373,0.864075,D015212,301301
SRR5218376,0.183866,D015212,301301
SRR5218377,1.96099,D015212,301301
SRR5218380,1.22751,D015212,301301
SRR5218382,0.854843,D015212,301301
SRR5218383,2.87802,D015212,301301
SRR5218384,4.16138,D015212,301301
SRR5218385,0.10723,D015212,301301
SRR5218386,0.115031,D015212,301301
SRR5218387,0.400606,D015212,301301
SRR5218388,10.2911,D015212,301301
SRR5218389,0.106969,D015212,301301
SRR5218390,0.185454,D015212,301301
SRR5218391,0.159661,D015212,301301
SRR5218392,0.121879,D015212,301301
SRR5218393,0.744198,D015212,301301
SRR5218395,2.79102,D015212,301301
SRR5218397,0.119809,D015212,301301
SRR5218399,0.076516,D015212,301301
SRR5396455,0.0113333,D015212,301301
SRR5396464,0.127065,D015212,301301
SRR5396469,0.100606,D015212,301301
SRR5396474,0.444739,D015212,301301
SRR5396484,0.00449741,D015212,301301
SRR5396516,0.00922821,D015212,301301
SRR5396517,0.0273688,D015212,301301
SRR5396522,0.0269644,D015212,301301
SRR5396528,0.281243,D015212,301301
SRR5396543,0.0490767,D015212,301301
SRR5396549,0.0319693,D015212,301301
